Area,Utility Group,Utility,Indicator Category,Indicator Sub Category,Indicator Code,Derived,Indicator Name,Unit,Footnote (2022-2023),2022-2023,2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Finance,Capital works grants,F26,Report,Capital works grants: water supply,$ 000s,,3128,400.279,0,14.768,55.255,0,0,0,4.919,1147.069,0,0,0,0,0,0,0,0,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Finance,Capital works grants,F27,Report,Capital works grants: wastewater,$ 000s,,4142,0,0,0,0,0,0,0,0,400.286,1387.628,2708.316,0,0,151.764,0,199.557,846.777,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Finance,Costs,IF11,Report,Operating cost: water supply,$ 000s,,17123,17017.21,17968.277,17809.747,17154.438,17729.628,17140.174,16595.95,16628.33,16862.033,17377.476,16215.729,15731.392,15396.277,13613.358,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Finance,Costs,IF12,Report,Operating cost: wastewater,$ 000s,,19747,19761.369,20998.761,21520.963,20336.217,19778.505,20010.983,19399.344,19814.781,19193.697,17764.213,17394.457,18207.654,18379.331,17390.433,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Public Health,Water quality compliance,H1,Report,Water quality guidelines,provided as text,,Council has a drinking Water Management System that complies with the N.S.W Guidelines and the Australian Drinking Water Guidelines.,,Council has a drinking Water Management System that complies with the N.S.W Guidelines and the Australian Drinking Water Guidelines.,Australian Drinking Water Guidelines in accordance with the NSW Public Health Act and Regulation (Council has a drinking Water Management System that complies with the N.S.W Guidelines and the Australian Drinking Water Guidelines. ),Australian Drinking Water Guidelines in accordance with the NSW Public Health Act and Regulation( Council has a drinking Water Management System that complies with the N.S.W Guidelines and the Australian Drinking Water Guidelines. ),Australian Drinking Water Guidelines in accordance with the NSW Public Health Act and Regulation( Council has a drinking Water Management System that complies with the N.S.W Guidelines and the Australian Drinking Water Guidelines. ),ADWG 2011,ADWG 2011,ADWG 2011,ADWG 2011,ADWG 2011,ADWG 2004,ADWG 2004,ADWG 2004,ADWG 2004,ADWG 2004,ADWG 2004,ADWG 2004,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Public Health,Water quality compliance,H3,Report,Percentage of population where microbiological compliance was achieved,%,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Public Health,Water quality compliance,H4,Report,Number of zones where chemical compliance was achieved,zones,,3,3,3,3,3,3,3 of 3,3 of 3,3 of 3,3 of 3,3 of 3,3 of 3,3 of 3,3 of 3,3 of 3,2 of 3,2 of 3,1 of 3,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Public Health,Water quality compliance,H4a,Report,Total number of zones,zones,,3,3,3,3,3,3,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Public Health,Water quality compliance,H5,Report,Risk-based drinking water management plan externally assessed,yes/no,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Pricing,Residential tariff structure,P1,Report,Tariff structure: water supply,provided as text,,Inclining Block,Inclining block,Inclining block,Inclining Block,Inclining Block,Inclining Block,Inclining Block,Inclining Block,Inclining Block,Inclining Block,Inclining Block,Inclining Block,Inclining Block,Inclining Block,Two Part,n/a,n/a,n/a,n/a,n/a,n/a
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Pricing,Residential tariff structure,P1.2,Report,Fixed charge: water supply,$,,189.4,194.9,200.49,203.74,203.24,198.34,198.58,192.27,182.01,172.62,164.46,155.06,142.5,141.39,139,138.94,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Pricing,Residential tariff structure,P1.3,Report,Usage charge: step 1,$/kL,,3.3,3.38,3.47,3.52,3.48,3.39,3.46,3.28,3.01,2.81,2.63,2.43,2.22,2.08,1.93,1.8,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Pricing,Residential tariff structure,P1.4,Report,Usage charge: step 2,$/kL,,5.34,5.07,5.2,5.28,5.21,5.09,5.13,4.91,4.55,4.25,3.98,3.68,3.36,3.12,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Pricing,Residential tariff structure,P1.5,Report,Usage charge: step 3,$/kL,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Pricing,Residential tariff structure,P1.6,Report,Usage charge: step 4,$/kL,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Pricing,Residential tariff structure,P1.7,Report,Usage charge: step 5,$/kL,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Pricing,Residential tariff structure,P1.12,Report,Special levies: water supply,$,,570,595.07,612.58,406.68,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Pricing,Residential tariff structure,P1.13,Report,Income from special levies retained by the utility: water supply,yes/no,,Yes,Yes,Yes,Yes,No,No,Not applicable,No,No,No,No,No,No,No,No,No,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Pricing,Residential tariff structure,P1.3a,Report,Upper bound of usage: step 1,kL,,300,300,300,300,300,300,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Pricing,Residential tariff structure,P1.4a,Report,Upper bound of usage: step 2,kL,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Pricing,Residential tariff structure,P1.5a,Report,Upper bound of usage: step 3,kL,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Pricing,Residential tariff structure,P1.6a,Report,Upper bound of usage: step 4,kL,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Pricing,Residential tariff structure,P1.7a,Report,Upper bound of usage: step 5,kL,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Pricing,Annual bill,P2,Report,Annual residential bill based on 200 kL per annum: water supply,$,,1419.4,1466.37,1506.13,No data,898.53,877,878.42,847.93,784.62,735.52,691.24,641.27,586.13,557.24,524.79,498.74,458.07,395.37,388.78,378.41,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Pricing,Annual bill,P3,Report,Typical residential bill: water supply,$,,718.52,726.52,797.2,828.55,818.46,797.14,798.63,732.69,718.21,691.74,629.57,551.52,513.51,507.12,485.73,475.33,480.09,405.78,409.93,392.12,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Pricing,Residential tariff structure,P4,Report,Tariff structure: wastewater Definition,provided as text,,Fixed,Fixed,Fixed,Fixed,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Pricing,Residential tariff structure,P4.1,Report,Fixed charge: wastewater,$,,890.2,943.28,970.29,986.02,983.49,959.79,960.65,948.62,900.22,864.37,835.15,800.27,763.58,730.52,721.94,719.58,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Pricing,Residential tariff structure,P4.2,Report,Usage charge: wastewater,$/kL,,Not applicable,Not applicable,Not applicable,Not applicable,0,Not applicable,Not applicable,Not applicable,,0,0,0,0,0,0,0,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Pricing,Residential tariff structure,P4.3,Report,Special levies: wastewater,$,,855,892.6,917.75,917.86,911.71,0,0,0,0,0,0,0,0,0,0,0,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Pricing,Residential tariff structure,P4.4,Report,Income from special levies retained by the utility: wastewater,yes/no,,Yes,Yes,Yes,Yes,No,No,Not applicable,No,No,No,No,No,No,No,No,No,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Pricing,Annual bill,P5,Report,Annual residential bill based on 200 kL per annum: wastewater,$,,1745.2,1835.88,1888.04,No data,1895.2,959.79,960.71,948.62,900.22,864.37,835.15,800.27,763.58,730.52,721.94,719.58,715.08,692.68,698.85,707.47,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Pricing,Annual bill,P6,Report,Typical residential bill: wastewater,$,,890.2,943.28,970.29,986.02,983.49,959.79,960.71,948.62,900.22,864.37,835.15,800.27,763.58,730.52,721.94,719.58,715.08,692.68,698.85,707.47,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Pricing,Annual bill,P7,Derived,Total annual residential bill based on 200 kL per annum,$,,3165,3302,3394,No data,2794,1837,1839,1797,1685,1600,1526,1442,1350,1288,1247,1218,1173,1088,1088,1086,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Pricing,Annual bill,P8,Derived,Total typical residential bill,$,,1609,1670,1767,1814,1802,1756,1759,1681,1618,1556,1465,1352,1277,1238,1208,1195,1195,1098,1109,1100,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Sources,W1,Report,Volume of water sourced from surface water,ML,,9798,9112,9287,9705,10018,9755,9623,9082,9284,9802,9317,8851,8938,10555,9564,9429,10121,10148,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Sources,W2,Report,Volume of water sourced from groundwater,ML,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Sources,W3.1,Report,Volume of water sourced from desalination of marine water,ML,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Transfers,W5,Derived,Total volume of water received from other service providers or operational areas within the urban water system,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",6,6,6,6,6,6,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Transfers,W5.3,Report,"Volume of water, excluding recycled water, received from other service providers or operational areas within the urban water supply system",ML,,6,6,6,6,6,6,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Transfers,W6,Report,Volume of recycled water received from other service providers or operational areas within the urban water supply system,ML,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Sources,W7,Derived,Total volume of water sourced,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",10422,9620,10042,10561,10879,10590,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Use,W8,Derived,Total volume of water supplied.to residential customers,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",5362,5220,5662,5774,5707,5662,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Use,W8.3,Report,Volume of water supplied to residential customers,ML,,5362,5220,5662,5774,5707,5662,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Use,W9,Derived,Total volume of water supplied to non-residential customers,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",4473,3895,3876,4186,4643,4281,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Use,W9.3,Report,Volume of water supplied to non-residential customers,ML,,3855,3363,3099,3312,3764,3429,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Use,W10.1,Report,Volume of non-revenue water,ML,,1928,1629,1274,1151,1539,1206,1072,1046,1024,1183,1167,1202,1377,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Production,W11,Derived,Total volume of urban water supplied,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",9835,9086,9510,9937,10326,9919,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Production,W11.3,Report,Volume of potable water produced for supply into the urban water supply system,ML,,9211,8577,8755,9081,9467,9086,8942,8431,8661,9204,8706,8274,7151,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Use,W12,Derived,Average volume of residential water supplied per property,KL/property,,162.4848,157,172,177,177,176,177.9,165.1,178,184,177,163,167,176,179.75,174,199,208,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Use,W13,Report,Volume of water returned as environmental flows from outside of the urban water supply system,ML,,172,262,218,256,0,0,0,0,0,0,0,,,0,0,0,0,0,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Transfers,W14,Derived,Total volume of water exported to other service providers or operational areas within the urban water supply system,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",0,0,0,1,2,2,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Transfers,W14.3,Report,"Volume of water, excluding recycled water, exported to other service providers or operational areas within the urban water supply system",ML,,0,0,0,1,2,2,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Transfers,W15,Report,Volume of recycled water exported to other service providers or operational areas within the urban water supply system,ML,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Wastewater collected,W16,Report,"Volume of wastewater, excluding trade waste, collected",ML,,7328,9490,8531,7842,6957,7095,7532,7241,7841,6466,7678,7991,7842,8634,7642,6510,5868,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Wastewater collected,W17,Report,Volume of trade waste collected,ML,,248,232,246,247,245,249,257,254,264,238,228,595,1321,187,1315,1382,1386,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Wastewater collected,W18,Derived,Total volume of wastewater collected,ML,,7576,9721,8777,8089,7202,7344,7789,7495,8105,6704,7906,8586,9163,8821,8957,7892,7262,8779,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Transfers,W18.1,Report,Volume of wastewater exported to other service providers or operational areas within the urban wastewater system,ML,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Transfers,W18.2,Report,Volume of wastewater received from other service providers or operational areas within the urban wastewater system,ML,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Extraction for sewer mining,W18.3,Report,Volume of wastewater taken through sewer mining,ML,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Inflow to plant,W18.4,Report,Volume of wastewater inflow to wastewater treatment plants,ML,,7576,9721,8777,8089,7202,7344,7789,7495,8105,6704,7906,8586,9163,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Wastewater collected,W19,Derived,Average volume of wastewater collected per property,KL/property,,244.4,312,285,265,239,232,248.8,240.9,263,221,263,277,302,300,301.8,270,266,332,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Use,W21,Report,Volume of recycled water supplied to non-residential customers,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",618,532,777,874,879,852,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Use,W23,Report,Volume of recycled water supplied as environmental flows,ML,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Use,W25.1,Report,Volume of recycled water supplied to managed aquifer recharge,ML,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Use,W26,Derived,Total volume of recycled water supplied,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",618,532,777,874,879,852,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Use,W27,Derived,Recycled water as a percentage of total wastewater collected,%,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",8.4,5,8.9,11,12.2,11.6,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Use,W28.4,Report,Volume of urban stormwater supplied to residential customers,ML,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Use,W28.5,Report,Volume of urban stormwater supplied to non-residential customers,ML,,0,0,0,0,0,0,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Outflow from plant,W30,Report,Volume of wastewater losses and spills,ML,,0,0,0,0,No data,0,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Use,W29,Report,Volume of treated wastewater disposals,ML,,6745,9096,7869,7013,6141,6373,6839,6662,7459,6017,7473,8209,8774,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Use,W31,Report,Volume of water returned to surface water or groundwater from the urban water supply system,ML,,0,0,0,0,0,0,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Outflow from plant,W18.5,Report,Volume of treated effluent outflow from wastewater treatment plants,ML,,7363,9629,8646,7884,7010,7230,7662,7353,8011,6621,7904,8585,9162,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Tweed Shire Council,Water Resources,Use,W20,Report,Volume of recycled water supplied to residential customers,ML,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Queensland,"Major—100,000+ connected properties",Unitywater,Assets,Water Treatment Plants,A1,Report,Number of water treatment plants providing full treatment,plants,,0,0,0,0,Not applicable,0,Not applicable,0,0,0,0,,0,,,,,,,,
Queensland,"Major—100,000+ connected properties",Unitywater,Assets,Other Water Assets,A2,Report,Length of water mains,km,,6452,6406,6348,6324,6260,6122,6056,5934,5829,5763,5745,5621,5495,,,,,,,,
Queensland,"Major—100,000+ connected properties",Unitywater,Assets,Other Water Assets,A3,Derived,Number of properties served per km of water main,properties/km,,54.5,54.3,54.1,53.3,52.4,52.5,51.7,51.4,51,50.1,49.2,49.3,49.1,,,,,,,,
Queensland,"Major—100,000+ connected properties",Unitywater,Assets,Wastewater assets,A4,Report,Number of wastewater treatment plants,plants,,17,17,17,17,17,17,17,17,17,18,18,18,18,,,,,,,,
Queensland,"Major—100,000+ connected properties",Unitywater,Assets,Wastewater assets,A5,Report,Length of sewer mains and channels,Km,,6151,6101,6040,5975,5924,5801,5758,5601,5522,5430,5399,5352,5216,,,,,,,,
Queensland,"Major—100,000+ connected properties",Unitywater,Assets,Wastewater assets,A6,Derived,Number of properties served per km of sewer main,properties/km,,51.2,51.1,51,50.6,49.7,49.9,48.8,48.6,48.3,48.2,47.6,47.1,47.3,,,,,,,,
Queensland,"Major—100,000+ connected properties",Unitywater,Assets,Water Main Breaks,A8,Derived,"Number of water main breaks, bursts, and leaks, per 100 km of water mains",mains breaks/100 km,,3.9,4.7,3.5,4.9,4.2,4.1,4.8,3.7,3.3,5.6,,,,,,,,,,,
Queensland,"Major—100,000+ connected properties",Unitywater,Assets,Water Losses,A9,Report,Infrastructure leakage index (ILI),ratio,,1.8,1.5,0.9,0.9,0.9,0.9,0.9,1.1,1.2,1.1,,,,,,,,,,,
Queensland,"Major—100,000+ connected properties",Unitywater,Assets,Water Losses,A10,Report,Real losses: service connections,L/service connection/day,,49.8,40.1,52.7,54.1,49.8,55.2,51,66,69,58,,,,,,,,,,,
Queensland,"Major—100,000+ connected properties",Unitywater,Assets,Water Losses,A11,Report,Real losses: water mains,kL/km water main/day,,2.2,1.7,2.3,2.3,2.1,2.3,2.1,3,2.9,2.98,,,,,,,,,,,
Queensland,"Major—100,000+ connected properties",Unitywater,Assets,Wastewater breaks and chokes,A14,Report,Number of sewer mains breaks and chokes per 100 km,breaks and chokes/100km,,7.1,8.9,9.8,19.8,17.1,16.4,24.8,24.5,25,20.4,,,,,,,,,,,
Queensland,"Major—100,000+ connected properties",Unitywater,Assets,Wastewater breaks and chokes,A15,Report,"Number of property connection sewer breaks and chokes per 1,000 properties","breaks and chokes/1,000 properties",,0.9,1.1,1.3,1.4,1.2,1.1,1.3,1.3,1.5,0.7,,,,,,,,,,,
Queensland,"Major—100,000+ connected properties",Unitywater,Assets,Water Main Breaks,IA8,Report,"Number of water main breaks, bursts, and leaks",mains breaks,,254,301,224,307,262,251,289,217,195,325,,,,,,,,,,,
Queensland,"Major—100,000+ connected properties",Unitywater,Customers,Connected Properties and Population,C1,Report,Population receiving services: water supply,population 000s,,841.666,833.14,826.644,812.2,791.2,777.1,755.6,724.63,707.901,691.807,675.663,668.775,652.697,,,,,,,,
Queensland,"Major—100,000+ connected properties",Unitywater,Customers,Connected Properties and Population,C2,Report,Number of connected residential properties: water supply,population 000s,,333.154,329.221,325.449,319.367,310.684,303.792,296.241,287.99,280.277,273.59,267.522,262.13,255.107,,,,,,,,
Queensland,"Major—100,000+ connected properties",Unitywater,Customers,Connected Properties and Population,C3,Report,Number of connected non-residential properties: water supply,population 000s,,18.622,18.352,18.083,17.749,17.627,17.339,17.004,16.97,16.989,15.391,15.237,15.212,14.897,,,,,,,,
Queensland,"Major—100,000+ connected properties",Unitywater,Customers,Connected Properties and Population,C4,Derived,Total number of connected properties: water supply,population 000s,,351.776,347.573,343.532,337.116,328.311,321.131,313.245,304.96,297.266,288.981,282.759,277.342,270.004,,,,,,,,
Queensland,"Major—100,000+ connected properties",Unitywater,Customers,Connected Properties and Population,C6,Report,Number of connected residential properties: wastewater,population 000s,,298.71,295.671,292.27,287.292,279.475,274.68,266.525,257.97,252.324,247.743,244.266,239.048,232.711,,,,,,,,
Queensland,"Major—100,000+ connected properties",Unitywater,Customers,Connected Properties and Population,C7,Report,Number of connected non-residential properties: wastewater,population 000s,,16.097,15.843,15.599,15.315,15.152,14.847,14.49,14.24,14.28,13.93,12.95,12.98,13.986,,,,,,,,
Queensland,"Major—100,000+ connected properties",Unitywater,Customers,Connected Properties and Population,C8,Derived,Total number of connected properties: wastewater,population 000s,,314.807,311.514,307.869,302.607,294.627,289.527,281.015,272.21,266.604,261.673,257.216,252.028,246.697,,,,,,,,
Queensland,"Major—100,000+ connected properties",Unitywater,Customers,Water quality complaints,C9,Derived,"Number of water quality complaints per 1,000 properties: water supply","complaints/1,000 properties",,0.1,0,0.1,0,0,0,0,0,0,0.1,,,,,,,,,,,
Queensland,"Major—100,000+ connected properties",Unitywater,Customers,Water service complaints,C10,Derived,"Number of water service complaints per 1,000 properties","complaints/1,000 properties",,0.5,0.6,0.7,0.4,0.3,0.2,0.3,0.2,0.3,0.3,,,,,,,,,,,
Queensland,"Major—100,000+ connected properties",Unitywater,Customers,Wastewater service complaints,C11,Derived,"Number of sewerage service complaints per 1,000 properties","complaints/1,000 properties",,0.7,0.9,0.6,0.4,0.2,0.3,0.2,0.3,0.4,0.3,,,,,,,,,,,
Queensland,"Major—100,000+ connected properties",Unitywater,Customers,Billing and account complaints,C12,Derived,"Number of billing and account complaints per 1,000 properties: water supply and sewerage","complaints/1,000 properties",,0.8,0.6,0.5,0.4,0.6,0.7,0.6,0.5,0.7,1.1,,,,,,,,,,,
Queensland,"Major—100,000+ connected properties",Unitywater,Customers,Total water and wastewater complaints,C13,Derived,"Number of water and sewerage complaints per 1,000 properties","complaints/1,000 properties",,2.79,2.38,2.2,1.4,1.4,1.46,1.35,1.24,2,2.62,,,,,,,,,,,
Queensland,"Major—100,000+ connected properties",Unitywater,Customers,Connect time to a telephone operator,C14,Report,Percentage of calls answered by an operator within 30 seconds,%,,71,75,78,80,83,72,No data,81,80,80.2,,,,,,,,,,,
Queensland,"Major—100,000+ connected properties",Unitywater,Customers,Average duration of unplanned water supply interruptions,C15,Report,Average duration of an unplanned interruption: water supply,minutes,,129.3,116.5,120.3,109.7,119.7,129.5,160,139,157,,,,,,,,,,,,
Queensland,"Major—100,000+ connected properties",Unitywater,Customers,Water interruption frequency,C17,Derived,"Number of unplanned interruptions per 1,000 properties","interruptions/ 1,000 properties",,53.7,51.3,38.7,48.8,57.7,55.9,57.1,58.3,77,71.4,,,,,,,,,,,
Queensland,"Major—100,000+ connected properties",Unitywater,Customers,Restrictions or legal action for non-payment of water bill,C18,Derived,"Number of restrictions for non-payment of water bills per 1,000 properties","restrictions/1,000 properties",,1,1,0,0,1,1,1,2,1,1,,0,,,,,,,,,
Queensland,"Major—100,000+ connected properties",Unitywater,Customers,Restrictions or legal action for non-payment of water bill,C19,Derived,Number of legal actions taken for non-payment of water bills per 1000 properties,"legal actions/1,000 properties",,1,0,0.4,0.6,1,1,0,0,1,1,1,0,0,,,,,,,,
Queensland,"Major—100,000+ connected properties",Unitywater,Customers,Water service complaints,IC10,Report,Number of water service complaints.,complaints,,170,192,248,127,100,73,97,64,104,79,,,,,,,,,,,
Queensland,"Major—100,000+ connected properties",Unitywater,Customers,Wastewater service complaints,IC11,Report,Number of sewerage service complaints,complaints,,213,265,195,118,48,78,65,70,96,81,,,,,,,,,,,
Queensland,"Major—100,000+ connected properties",Unitywater,Customers,Billing and account complaints,IC12,Report,Number of billing and account complaints: water supply and sewerage,complaints,,275,198,162,133,213,232,194,139,206,317,,,,,,,,,,,
